root cubes at depth 2 (rule (a) only): open=25339 short(stop)=154 total=25493
to run: 25493 cubes (0 already journaled; skipped {}; retry=['error'])
solver: cadical /Users/jiaruixu/work_space/smp-max/cadical-src/build/cadical (Version 3.0.1 c60730422e758ef1cebe7aeddf2dda31c996bf04)
base formula: 84882 vars, 2709212 clauses, 48.7 MB, sha256 28421fb68b0f494b..., built in 1.9s
journal header written: base_sha256=28421fb68b0f494b99d1918aa64cff248443161dc7a6c220e0c3e895a67df59b solver=cadical (Version 3.0.1 c60730422e758ef1cebe7aeddf2dda31c996bf04)
[60/25493   227.6s] 0,3,4,1,5,2;0,4,2,1,3,5: verified [cadical] solve=0.81s lrat=46.1MB cake=3.23s cnf_sha=4d849c4acde2
[61/25493   228.6s] 0,1,3,4,2;0,1,5,3,2: verified [cadical] solve=5.33s lrat=158.1MB cake=5.4s cnf_sha=df24c25291d1
[62/25493   232.5s] 0,4,3,2,5,1;0,3,5,1: verified [cadical] solve=3.98s lrat=159.1MB cake=4.43s cnf_sha=44f037e299cc
[63/25493   245.2s] 0,5,2,3,1,4;0,1,4,5,2: verified [cadical] solve=1.37s lrat=54.7MB cake=10.95s cnf_sha=629484afdb82
[64/25493   247.2s] 0,1,4,3,2,5;0,3,5,4: verified [cadical] solve=6.0s lrat=215.8MB cake=15.07s cnf_sha=919822d5ace5
[65/25493   251.7s] 0,1,4,2,3;0,2,5,1,3: verified [cadical] solve=4.75s lrat=180.7MB cake=18.0s cnf_sha=fc9e637845b0
[66/25493   251.9s] 0,2,3,1,5,4;0,5,3,4: verified [cadical] solve=5.31s lrat=189.7MB cake=18.62s cnf_sha=06ef7833a769
[67/25493   253.1s] 0,2,5,3,1,4;0,2,1,5,3,4: verified [cadical] solve=0.79s lrat=39.1MB cake=4.77s cnf_sha=1546f06b35a2
[68/25493   257.2s] 0,5,2,1,4,3;0,5,2,1: verified [cadical] solve=3.84s lrat=144.9MB cake=7.76s cnf_sha=e03eaa526bab
[69/25493   258.0s] 0,5,3,2,1,4;1,5,2,4,3: verified [cadical] solve=1.46s lrat=76.4MB cake=4.46s cnf_sha=ce6007bcb65d
[70/25493   269.6s] 0,3,1,2,5,4;0,3,1,4: verified [cadical] solve=4.47s lrat=180.7MB cake=7.56s cnf_sha=27a2ec46f42c
[71/25493   289.7s] 0,4,5,3,1,2;1,4,2,5,3: verified [cadical] solve=1.61s lrat=81.7MB cake=18.13s cnf_sha=cd2f2ba156f0
[72/25493   308.6s] 0,1,2,5,3,4;0,2,5: verified [cadical] solve=15.25s lrat=455.0MB cake=34.63s cnf_sha=a2ae94d78f87
[73/25493   316.5s] 0,2,3,1;0,5,3,4: verified [cadical] solve=70.06s lrat=2376.9MB cake=132.0s cnf_sha=7d57ab08306a
[74/25493   318.6s] 0,5,2,4,1,3;0,4,5,1,2,3: verified [cadical] solve=0.78s lrat=41.9MB cake=8.79s cnf_sha=07e1175752a3
[75/25493   319.2s] 0,1,3,4,5,2;1,5,2: verified [cadical] solve=18.93s lrat=634.1MB cake=47.79s cnf_sha=0bd34cc1c3bd
[76/25493   320.2s] 0,2,3,5,1,4;3,5,4: verified [cadical] solve=19.15s lrat=622.0MB cake=47.16s cnf_sha=8a7f78d227c8
[77/25493   325.9s] 0,1,5,4,2,3;0,1,3,5,4,2: verified [cadical] solve=0.75s lrat=38.4MB cake=4.61s cnf_sha=c154254dfa01
[78/25493   331.6s] 0,4,1,3,2;0,1,3: verified [cadical] solve=47.83s lrat=1447.3MB cake=88.77s cnf_sha=06e70dc9fcaf
[79/25493   337.1s] 0,1,4,3,5,2;0,1,3,2: verified [cadical] solve=4.49s lrat=146.7MB cake=13.0s cnf_sha=ba2ec648fd47
[80/25493   337.7s] 0,1,4,2,3,5;0,4,2,5: verified [cadical] solve=6.06s lrat=224.4MB cake=14.58s cnf_sha=0742b9026e02
